[time_index],[x],[y]
0.0,0.0,0.0
1.0,0.707106781187,0.658106781187
2.0,1.3952882289886475,1.1787118911743164
3.0,2.076380491256714,1.6014405488967896
4.0,2.7539596557617188,1.9367396831512451
5.0,3.4259181022644043,2.1648874282836914
6.0,4.086548805236816,2.3010268211364746
7.0,4.73176383972168,2.3397655487060547
8.0,5.366515159606934,2.277952194213867
9.0,5.988859176635742,2.1159355640411377
10.0,6.599569320678711,1.8481249809265137
11.0,7.214102745056152,1.4704005718231201
12.0,7.841860771179199,0.9831309914588928
13.0,8.486326217651367,0.40452995896339417
